,Community Area Mentioned,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Tweet Latitude,Tweet Longitude
0,englewood,2016-03-12 14:21:01,0.0,0.0,"Chicago (IL) WLS: 1 dead, 1 critical after police standoff in Englewood, police say",0.0,0.0
1,englewood,2016-03-12 14:16:23,0.0,0.0,@realDonaldTrump too bad #Chicago treated you so well.  You should also check out #Englewood while you are there.,0.0,0.0
2,englewood,2016-03-12 13:33:11,1.0,0.0,"Chicago #realestate 7330 S Wood St, Chicago, IL 60636, $25,000: Vacant lot in Chicago, IL - West Englewood https://t.co/v0bOF3eEu6",0.0,0.0
3,englewood,2016-03-12 13:33:11,0.0,0.0,"Chicago #realestate 7159 S Wood St, Chicago, IL 60636, $12,000: Vacant lot in Chicago, IL - West Englewood https://t.co/Sbgs21JseL",0.0,0.0
4,englewood,2016-03-12 13:21:13,0.0,0.0,In the near future englewood is gonna be the most peaceful community in Chicago,0.0,0.0
5,englewood,2016-03-12 12:58:04,0.0,0.0,My week here in Englewood and Chicago in general has changed a great part of me in every aspect of my life. God knows I'll miss these kids.,0.0,0.0
6,englewood,2016-03-12 12:48:02,0.0,0.0,"1 dead, 1 critical after police standoff in Englewood, police say: One person is dead and another is ... https://t.co/rR5N2eOHqv #Chicago",0.0,0.0
7,englewood,2016-03-12 12:47:07,0.0,0.0,"1 dead, 1 critical after police standoff in Englewood, police say: One person is dead and another is… https://t.co/EptydTQY2h #Chicago #News",0.0,0.0
8,englewood,2016-03-12 12:33:06,0.0,0.0,"1 dead, 1 critical after police standoff in Englewood, police say https://t.co/psFZlhaUNk",0.0,0.0
9,englewood,2016-03-12 10:32:10,0.0,0.0,Man shot in Englewood - https://t.co/yFow1SlocL,0.0,0.0
10,englewood,2016-03-12 10:32:09,0.0,0.0,Man shot in Englewood https://t.co/P5SjSDrdbN,0.0,0.0
11,englewood,2016-03-12 10:32:09,0.0,0.0,Man shot in Englewood - https://t.co/1FrqKYJSNU,0.0,0.0
12,englewood,2016-03-12 10:03:51,0.0,0.0,Man shot in Englewood https://t.co/gVNKI0yo64,0.0,0.0
13,englewood,2016-03-12 06:44:37,0.0,0.0,"😎 @ Chicago (Englewood neighborhood), Illinois https://t.co/LJ5J0yp5zd",-87.66115998,41.78729154
14,englewood,2016-03-12 05:39:34,0.0,0.0,"Englewood Candle-maker's Specialty Scents Include Pina Colada, Pound Cake via @DNAinfoCHI https://t.co/D4U2LzYbGK",0.0,0.0
15,englewood,2016-03-12 05:25:14,0.0,0.0,"Englewood, Austin, and Garfield Park are by far the deadliest neighborhoods in #Chicago. In 2014, these saw 118 #homicides!",0.0,0.0
16,englewood,2016-03-12 04:57:53,0.0,0.0,@samanthajacobs The same people protesting against Trump will be shooting each other in Englewood tonight - Chicago is blue and violent,0.0,0.0
17,englewood,2016-03-12 04:53:39,0.0,1.0,RT @littlelevin: #Chicago Why don't they march on Austin or how bout Englewood or even South Lawndale ? Do they even know what their marchi…,0.0,0.0
18,englewood,2016-03-12 04:51:12,2.0,1.0,#Chicago Why don't they march on Austin or how bout Englewood or even South Lawndale ? Do they even know what their marching for,0.0,0.0
19,englewood,2016-03-12 04:39:09,0.0,0.0,"@LightskinJesuSP &gt;englewood
&gt;chicago

look, if you're going to be a fucking drag on white society, at least know the neighborhoods",0.0,0.0
20,englewood,2016-03-12 04:23:43,2.0,0.0,"Now the protestors are on their way to Englewood to shut down gangs, right? TrumpRally #Chicago",0.0,0.0
21,englewood,2016-03-12 03:17:18,0.0,1.0,RT @CountOnRodney: Thank Southside Chicago shoutout to Englewood 😂 https://t.co/M6LNcVUHF8,0.0,0.0
22,englewood,2016-03-12 02:56:46,0.0,0.0,https://t.co/6QTkFQ2TMV  meanwhile in #Chicago no one give a shit about black man killed by black man.,0.0,0.0
23,englewood,2016-03-12 02:06:25,0.0,5.0,RT @chicagotribune: Friend: Man shot dead after dropping off son at day care in West Englewood https://t.co/oQDU9q3rKj https://t.co/5QUcSdr…,0.0,0.0
24,englewood,2016-03-12 01:14:19,1.0,1.0,Thank Southside Chicago shoutout to Englewood 😂 https://t.co/M6LNcVUHF8,0.0,0.0
25,englewood,2016-03-12 01:07:43,0.0,1.0,RT @Mahagony: For Updates &amp; more... Visit LouDGangUSA https://t.co/2BGilibmx4 #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencr…,0.0,0.0
26,englewood,2016-03-12 01:06:49,0.0,0.0,Tell yo daughter she's welcomed to come in the Englewood and Roseland area in Chicago 😍😍😍 @realDonaldTrump,0.0,0.0
27,englewood,2016-03-12 00:51:11,1.0,0.0,"#Chicago You're making me proud tonight!! FUCK Trump!! #TrumpRally That shit don't fly here, fuck around and get dropped in Englewood!",0.0,0.0
28,englewood,2016-03-12 00:18:04,0.0,1.0,For Updates &amp; more... Visit LouDGangUSA https://t.co/2BGilibmx4 #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT,0.0,0.0
29,englewood,2016-03-11 23:47:29,0.0,5.0,RT @chicagotribune: Friend: Man shot dead after dropping off son at day care in West Englewood https://t.co/oQDU9q3rKj https://t.co/5QUcSdr…,0.0,0.0
30,englewood,2016-03-11 23:37:41,0.0,5.0,RT @chicagotribune: Friend: Man shot dead after dropping off son at day care in West Englewood https://t.co/oQDU9q3rKj https://t.co/5QUcSdr…,0.0,0.0
31,englewood,2016-03-11 23:36:47,0.0,5.0,RT @chicagotribune: Friend: Man shot dead after dropping off son at day care in West Englewood https://t.co/oQDU9q3rKj https://t.co/5QUcSdr…,0.0,0.0
32,englewood,2016-03-11 23:36:04,2.0,5.0,Friend: Man shot dead after dropping off son at day care in West Englewood https://t.co/oQDU9q3rKj https://t.co/5QUcSdrTI1,0.0,0.0
33,englewood,2016-03-11 23:24:38,0.0,0.0,Man wounded in West Englewood shooting https://t.co/itfqZnllSJ,0.0,0.0
34,englewood,2016-03-11 23:14:57,0.0,0.0,"Just posted a photo @ Chicago (Englewood neighborhood), Illinois https://t.co/OiUI87Mfa1",0.0,0.0
35,englewood,2016-03-11 21:51:47,0.0,2.0,"RT @Mahagony: Cнecĸ Oυт New FEASTIN @perklive @loudgangusa @ Englewood, Chicago https://t.co/2sMSfDNofx",0.0,0.0
36,englewood,2016-03-11 21:49:41,0.0,4.0,"RT @LoudGangUSA: For Updates &amp; more...
Visit @LouDGangUSA https://t.co/zeI9Xl9Cyg
#LouDGangUSA #Chicago #music #Englewood #rap #hiphop #gre…",0.0,0.0
37,englewood,2016-03-11 21:40:15,0.0,2.0,"RT @Mahagony: Cнecĸ Oυт New FEASTIN @perklive @loudgangusa @ Englewood, Chicago https://t.co/2sMSfDNofx",0.0,0.0
38,englewood,2016-03-11 21:38:35,0.0,1.0,"RT @CSTbreaking: Police: Man fatally shot sitting in car in West Englewood
https://t.co/rBdtBfPI8Z",0.0,0.0
39,englewood,2016-03-11 21:27:39,0.0,0.0,@howardbrownhc announces new clinic in Englewood! #LGBT #health #Chicago https://t.co/LVe8BGOtWr,0.0,0.0
40,englewood,2016-03-11 20:35:01,2.0,1.0,"Police: Man fatally shot sitting in car in West Englewood
https://t.co/rBdtBfPI8Z",0.0,0.0
41,englewood,2016-03-11 20:14:00,0.0,0.0,"Englewood Enterprise Gallery's monthly empowerment open house is Mar 13, with kids activities too #goodinenglewood https://t.co/9TlxkRYl5c",0.0,0.0
42,englewood,2016-03-11 19:20:09,0.0,0.0,Man killed in West Englewood shooting https://t.co/p0ZDVSB8xu,0.0,0.0
43,englewood,2016-03-11 19:17:25,0.0,0.0,@realDonaldTrump welcome to Chicago! Be sure to check out the beautiful historic neighborhoods of oak lawn and Englewood while you're here!,0.0,0.0
44,englewood,2016-03-11 18:48:11,0.0,1.0,RT @ChicagoDailyNew: #Breaking Man wounded in West Englewood shooting https://t.co/bdCvbB1iBV,0.0,0.0
45,englewood,2016-03-11 17:45:39,0.0,1.0,RT @_rdjenkins: Barbershop at the Library interesting program for the kids in Englewood neighborhood of Chicago https://t.co/Ol5tRlcpGW,0.0,0.0
46,englewood,2016-03-11 17:45:13,1.0,1.0,Barbershop at the Library interesting program for the kids in Englewood neighborhood of Chicago https://t.co/Ol5tRlcpGW,0.0,0.0
47,englewood,2016-03-11 17:41:23,0.0,0.0,Man killed in West Englewood shooting https://t.co/vBXCFN5f27,0.0,0.0
48,englewood,2016-03-11 17:36:31,0.0,3.0,RT @ChicagoBreaking: Man wounded in West Englewood shooting https://t.co/vOYxMc3l6F,0.0,0.0
49,englewood,2016-03-11 17:16:24,0.0,0.0,#chicago #news Man killed in West Englewood shooting - A 26-year-old man was fatally wounded Friday morning in ... https://t.co/JXWcH7YDWz,0.0,0.0
50,englewood,2016-03-11 17:09:07,0.0,0.0,Man killed in West Englewood shooting https://t.co/vlDxJxfLNh,0.0,0.0
51,englewood,2016-03-11 16:54:15,0.0,0.0,Man killed in West Englewood shooting https://t.co/ibPoyFElnY,0.0,0.0
52,englewood,2016-03-11 16:41:38,1.0,0.0,"S/o my nigga Harry..... #Life 🙌🙌🙌 @ Chicago (Englewood neighborhood), Illinois https://t.co/TpthadGi6Y",-87.66115998,41.78729154
53,englewood,2016-03-11 16:40:07,0.0,0.0,Man wounded in West Englewood shooting: A 26-year-old man was wounded Friday morning in a shooting in the city's… https://t.co/IAUd2bJJdh,0.0,0.0
54,englewood,2016-03-11 16:34:16,1.0,1.0,#Breaking Man wounded in West Englewood shooting https://t.co/bdCvbB1iBV,0.0,0.0
55,englewood,2016-03-11 16:34:16,1.0,0.0,Man wounded in West Englewood shooting https://t.co/KLo3sZADS1 #chicago,0.0,0.0
56,englewood,2016-03-11 16:28:22,0.0,0.0,✍ RT ChicagoBreaking: Man wounded in West Englewood shooting https://t.co/5azTRx11E9 https://t.co/Plw3pXgJu5,0.0,0.0
57,englewood,2016-03-11 16:26:12,0.0,0.0,Man wounded in West Englewood shooting: A 26-year-old man was wounded Friday morning in a shooting… https://t.co/oLcLfbVxG8 #Chicago #News,0.0,0.0
58,englewood,2016-03-11 16:25:20,0.0,3.0,RT @ChicagoBreaking: Man wounded in West Englewood shooting https://t.co/vOYxMc3l6F,0.0,0.0
59,englewood,2016-03-11 16:25:01,0.0,3.0,Man wounded in West Englewood shooting https://t.co/vOYxMc3l6F,0.0,0.0
60,englewood,2016-03-11 16:22:09,0.0,0.0,Man wounded in West Englewood shooting: A 26-year-old man was wounded Friday morning in a shooting in the city's… https://t.co/Eq3nZZp9cQ,0.0,0.0
61,englewood,2016-03-11 12:54:07,0.0,0.0,"Englewood comeback   Great news for Chicago, ""my city.""",0.0,0.0
62,englewood,2016-03-11 08:32:31,0.0,1.0,RT @AndreaVWatson12: Hmm..Here's my story which was published the day before  @kathychaney @Mario_Demiuex https://t.co/n9usOaCPJ3  https://…,0.0,0.0
63,englewood,2016-03-11 08:08:08,0.0,1.0,Hmm..Here's my story which was published the day before  @kathychaney @Mario_Demiuex https://t.co/n9usOaCPJ3  https://t.co/TzEWsAWwP1,0.0,0.0
64,englewood,2016-03-11 05:28:13,1.0,0.0,"Bitch, you created your own Blood set in Chicago called Englewood Dyke Families. Dont let Facebook get you fucked up https://t.co/H2KiDrSVBq",0.0,0.0
65,englewood,2016-03-11 05:01:25,0.0,5.0,RT @jeansvaljeans: insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MV…,0.0,0.0
66,englewood,2016-03-11 05:01:10,0.0,5.0,RT @jeansvaljeans: insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MV…,0.0,0.0
67,englewood,2016-03-11 04:58:08,0.0,2.0,RT @SCFJobs: We're always thrilled to connect talent to great careers like @StepITUpAmerica @AndreaVWatson12 https://t.co/dnMopZrpDy @DNAin…,0.0,0.0
68,englewood,2016-03-11 00:18:01,0.0,0.0,For Updates &amp; more... Visit LouDGangUSA https://t.co/WyatT15qFg #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT,0.0,0.0
69,englewood,2016-03-10 23:08:30,0.0,0.0,"#EnglewoodCabRobberies
So, are cab robberies the reason why I can't find ANY cabs on GARFIELD BLVD when coming... https://t.co/iqo4EPxIUK",0.0,0.0
70,englewood,2016-03-10 23:07:12,0.0,0.0,"This #job might be a great fit for you: Biomedical Technician I - Ross Dialysis - Englewood - https://t.co/gavbjnxZOI #Chicago, IL #Hiring",-87.6297982,41.8781136
71,englewood,2016-03-10 22:50:40,0.0,0.0,Howard Brown Health Announces New Clinic In Chicago’s Englewood Neighborhood | Howard Brown Health https://t.co/Y1PrDKMaxh,0.0,0.0
72,englewood,2016-03-10 21:14:50,0.0,0.0,"""Howard Brown Health Announces New Clinic in Chicago's Englewood Neihborhood"" on @LinkedIn https://t.co/SnDf8Wy0AL",0.0,0.0
73,englewood,2016-03-10 21:06:42,0.0,0.0,"I've been working for it, putting in overtime. 🙏🏽 #OT #YKManagement #MEASP @ Chicago (Englewood… https://t.co/MKkM75xyKK",0.0,0.0
74,englewood,2016-03-10 20:54:33,0.0,0.0,Every Goon in Chicago need to be at the Trump Rally tomorrow. #SouthSide #WestSide #JefferyManor #KillaWard #TerrorTown #Englewood,0.0,0.0
75,englewood,2016-03-10 20:18:17,1.0,0.0,"@kanyewest whats good Ye' remember John Hope? Southside Englewood, Chicago..",0.0,0.0
76,englewood,2016-03-10 17:07:17,1.0,0.0,#TIFThursday - We will talk TIFs here - Englewood Development Focus Group - Let Your Voice Be Heard-March 19th! https://t.co/FpXHtEQ1kF via,0.0,0.0
77,englewood,2016-03-10 16:17:34,0.0,0.0,"See our latest #Chicago, IL #job and click to apply: Dialysis Patient Care Technician - Englewood - Chicago, IL - https://t.co/9ZvmuJu76N",-87.6297982,41.8781136
78,englewood,2016-03-10 15:51:20,0.0,2.0,"RT @CSTbreaking: Police: Cab drivers targeted in West Englewood armed robberies
https://t.co/khLDUct99V",0.0,0.0
79,englewood,2016-03-10 15:43:08,0.0,2.0,"RT @CSTbreaking: Police: Cab drivers targeted in West Englewood armed robberies
https://t.co/khLDUct99V",0.0,0.0
80,englewood,2016-03-10 15:11:59,1.0,0.0,I wish @realDonaldTrump would dare take a trip to Englewood while in Chicago tomorrow 🙂,0.0,0.0
81,englewood,2016-03-10 15:11:13,0.0,0.0,"Retweeted CivicLab Chicago (@CivicLabChicago):

Here's what Asiaha Butler of Englewood's R.A.G.E. said about ""TIF... https://t.co/JW7U3CE0aE",0.0,0.0
82,englewood,2016-03-10 15:10:06,0.0,0.0,"Retweeted CivicLab Chicago (@CivicLabChicago):

TIF reform fires up voters in Englewood! https://t.co/7MIM81Xu4S https://t.co/elWPSJOLtE",0.0,0.0
83,englewood,2016-03-10 15:09:51,0.0,1.0,RT @CivicLabChicago: TIF reform fires up voters in Englewood! http://t.co/hZDVyKROZ8,0.0,0.0
84,englewood,2016-03-10 08:48:38,0.0,0.0,2 men shot in car in West Englewood.. Related Articles: https://t.co/uIiFbPrROi,0.0,0.0
85,englewood,2016-03-10 08:37:41,0.0,60.0,"RT @DNAinfoCHI: .@SpikeLee calls @chancetherapper a ""fraud,"" rips local critics of #Chiraq https://t.co/z3O29Z6yOc https://t.co/ywi1GZSGqL",0.0,0.0
86,englewood,2016-03-10 04:52:17,0.0,1.0,RT @its_lil_g: South side englewood  Chicago Illinois 💯 https://t.co/LO1g7rzoZ4,0.0,0.0
87,englewood,2016-03-10 04:51:33,2.0,1.0,South side englewood  Chicago Illinois 💯 https://t.co/LO1g7rzoZ4,0.0,0.0
88,englewood,2016-03-10 02:30:13,0.0,5.0,RT @jeansvaljeans: insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MV…,0.0,0.0
89,englewood,2016-03-10 01:14:52,0.0,5.0,RT @jeansvaljeans: insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MV…,0.0,0.0
90,englewood,2016-03-10 00:18:28,0.0,0.0,For Updates &amp; more... Visit LouDGangUSA https://t.co/hnxEHWg41j #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT,0.0,0.0
91,englewood,2016-03-10 00:18:08,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
92,englewood,2016-03-10 00:17:44,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
93,englewood,2016-03-09 23:50:35,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
94,englewood,2016-03-09 23:38:15,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
95,englewood,2016-03-09 23:29:26,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
96,englewood,2016-03-09 23:25:42,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
97,englewood,2016-03-09 23:24:50,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
98,englewood,2016-03-09 23:23:41,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
99,englewood,2016-03-09 23:21:31,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
100,englewood,2016-03-09 23:18:48,0.0,10.0,RT @ByYourLogic: Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is durin…,0.0,0.0
101,englewood,2016-03-09 23:17:24,46.0,10.0,Chicago neighborhoods like Englewood have poverty rates over 40%. Clinton surrogates will say how irrelevant that is during the IL primary,0.0,0.0
102,englewood,2016-03-09 23:08:16,0.0,239.0,RT @thickred3x: Part 1 of some Chicago Southside Englewood shit @kingLongLeg Loft! My camara man the shit... https://t.co/NfVtFqcdZL,0.0,0.0
103,englewood,2016-03-09 22:19:01,0.0,0.0,South side Chicago raised Englewood 59th Carpenter 💯🅿️😈 y'all know Qua,0.0,0.0
104,englewood,2016-03-09 22:02:29,0.0,2.0,"Police: Cab drivers targeted in West Englewood armed robberies
https://t.co/khLDUct99V",0.0,0.0
105,englewood,2016-03-09 21:30:55,0.0,1.0,RT @DJT_RELL: Growin up in Englewood/Chicago had its ups &amp; downs...But if I could it All over again-I SWEAR I would,0.0,0.0
